,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,Year
82,ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3819,07/21/2011 12:00:00 AM,,"Chamoli , Uttarakhand","Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Chamoli , Uttarakhand",25km,landslide,rain,medium,unknown,1.0,,,,,glc,3819.0,India,IN,Uttarakhand,2000.0,Pīpalkoti,9.785839999999999,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.3318,30.4043,2011
98,Hindustan Times,http://www.hindustantimes.com/chandigarh/landslide-hits-train-services-on-kalka-shimla-section/story-C4FiXc6ERCioiTLnS9e8eI.html,4565,09/18/2012 12:00:00 AM,,"Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh","As many as five trains came to a halt on Tuesday following a landslide between Jatog and Kaithlighat railway stations on Kalka-Shimla railway section. The landslide, which was triggered following torrential rains on the track, was noticed by railway.  employees, who immediately Thereafter, railway authorities cancelled the movement of all trains till clearance of the track.    informed the authorities around 1pm.","Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh",1km,landslide,downpour,medium,unknown,,,,,,glc,4565.0,India,IN,Himachal Pradesh,2467.0,Jutogh,8.681389999999999,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.1029,31.0226,2012
99,Hindustan Times,http://www.hindustantimes.com/india/flash-floods-and-landslides-kill-21-in-sikkim/story-4FYliiSqiH1MnwaoLBIUnO.html,4569,09/19/2012 12:00:00 AM,,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)","At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said.","North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",10km,landslide,downpour,large,unknown,20.0,,,,,glc,4569.0,India,IN,,1464.0,Mangan,36.594770000000004,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.556,27.8385,2012
100,Hindustan Times,http://www.hindustantimes.com/india/flash-floods-and-landslides-kill-21-in-sikkim/story-4FYliiSqiH1MnwaoLBIUnO.html,4571,09/19/2012 12:00:00 AM,," Chungthang and Pegong. Houses, between Rangma and Chungthang ","At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said. Several landslides blocked the main roads between Chungthang and Pegong. Houses along Lachen river between Rangma and Chungthang were washed away in flash floods along Lachen river."," Chungthang and Pegong. Houses, between Rangma and Chungthang ",10km,landslide,downpour,large,unknown,,,,,,glc,4571.0,India,IN,,1464.0,Mangan,18.148120000000002,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.605,27.6558,2012
107,The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,4929,06/16/2013 12:00:00 AM,,"Rishikesh-Joshimath-Mana Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern."" Rishikesh-Joshimath-Mana road, which ","Rishikesh-Joshimath-Mana Road, Uttarakhand",50km,landslide,rain,medium,unknown,0.0,,,,,glc,4929.0,India,IN,Uttarakhand,27611.0,Tehri,14.58545,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.3881,30.4954,2013
108,The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,4930,06/16/2013 12:00:00 AM,,"Dharasu-Gangotri Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern.""","Dharasu-Gangotri Road, Uttarakhand",50km,landslide,rain,medium,unknown,0.0,,,,,glc,4930.0,India,IN,Uttarakhand,17123.0,Uttarkāshi,27.63875,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.6695,30.885,2013
109,The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,4931,06/16/2013 12:00:00 AM,,"Pithoragarh-Ghatiabgarh Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern."" On Tanakpur-Pithoragarh-Jauljibi-Tawa","Pithoragarh-Ghatiabgarh Road, Uttarakhand",50km,landslide,rain,medium,unknown,0.0,,,,,glc,4931.0,India,IN,Uttarakhand,7331.0,Dhārchula,11.27172,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.417,29.7986,2013
113,timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4982,06/25/2013 08:00:00 AM,,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,,,,,glc,4982.0,India,IN,Tamil Nādu,31364.0,Kangayam,6.03885,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5947,10.9628,2013
114,timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4983,06/25/2013 08:00:00 AM,,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,,,,,glc,4983.0,India,IN,Tamil Nādu,31364.0,Kangayam,6.03885,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5947,10.9628,2013
437,The Northlines,http://thenorthlines.com/readMore.aspx?nid=38648,7176,04/02/2015 12:00:00 AM,,Frasthar,38 houses have been damaged due to landslide,Frasthar,1km,landslide,continuous_rain,medium,natural_slope,0.0,0.0,,,,glc,7176.0,India,IN,Kashmir,14965.0,Pattan,7.66465,07/13/2015 07:12:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.4725,34.1587,2015
456,Oheraldo news,http://oheraldo.in/node/27006,143,07/28/2007 12:00:00 AM,,Vasco,closest to predicted location of Alibag (383.81 km),Vasco,5km,landslide,rain,medium,unknown,,,,,,glc,143.0,India,IN,Goa,100485.0,Vāsco Da Gāma,1.42927,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,73.8277,15.4014,2007
475,Times of India,http://timesofindia.indiatimes.com/city/mysuru/-Traffic-disrupted-for-4-hours-due-to-landslide/articleshow/9004179.cms?from=mdr,3659,06/27/2011 12:00:00 AM,,Madikeri-Mangalore highway,"Traffic was disrupted for four hours on Madikeri-Mangalore highway following a huge landslide, which dumped a lot of wet mud on to the road. It took the PWD over five hours to clear the road with the help of excavators. Deputy commissioner Chandregowda visited the spot with PWD engineers.   Since many landslides have been occurring at many spots along the Mangalore road, the deputy commissioner has instructed officials to deploy an excavator on the Mangalore road to remove road blocks whenever and wherever required. There are also many instances of roads being blocked by fallen trees and landslides of smaller intensities, in the interior parts of the district.  ",Madikeri-Mangalore highway,unknown,landslide,rain,medium,unknown,0.0,,,,,glc,3659.0,India,IN,Karnataka,53331.0,Puttūr,10.91024,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.2565,12.6771,2011
502,samaylive,http://www.samaylive.com/news/rains-landslides-disrupt-kailash-mansarovar-pilgrimage/648603.html,1097,08/17/2009 06:00:00 PM,,Pithoragarh district,"Dehra Dun, Aug 18 Rivers in Uttarakhand swelled as heavy rains lashed several places in the hill state while traffic was affected on many roads, including highways, after landslides swamped many stretches with soil and boulders. Official sources said roads connecting Pithoragarh and Champawat districts with rest of the country were blocked for traffic after landslides. Debris clearance works are underway on many stretches. Six people were killed in rain-related incidents yesterday. Pantnagar recorded 143 mm of rainfall while Pithoragarh received 111 mm rains and Nainital 82 mm in the past 24 hours as Kumaon region was drenched by a good amount of rainfall, Met Director Anand Sharma said.",Pithoragarh district,25km,landslide,continuous_rain,medium,unknown,0.0,,,,,glc,1097.0,India,IN,Uttarakhand,6758.0,Lohaghāt,4.21438,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.1327,29.4085,2009
524,E-PAO,http://e-pao.net/GP.asp?src=21..020815.aug15,7370,08/01/2015 12:00:00 AM,,between Moltuk to New Songjang village,one landslide between Moltuk to New Songjang village,between Moltuk to New Songjang village,5km,landslide,continuous_rain,medium,above_road,0.0,0.0,,,,glc,7370.0,India,IN,Manipur,30418.0,Kakching,41.50847,11/21/2015 01:04:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.1078,24.1419,2015
537,The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,4928,06/16/2013 12:00:00 AM,,"Rudraprayag-Gaurikund Road, Uttarakhand","Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern.""","Rudraprayag-Gaurikund Road, Uttarakhand",25km,landslide,rain,medium,unknown,0.0,,,,,glc,4928.0,India,IN,Uttarakhand,2571.0,Rudraprayāg,21.584220000000002,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.0765,30.4619,2013
538,dailypioneer,http://www.dailypioneer.com/nation/78471-cloudburst-landslide-in-u-khand-claim-one.html,4445,07/05/2012 12:00:00 AM,,"Badrinath Rd,  Rishikesh, Uttarakhand","Chamoli District Magistrate SA Murugeshan told The Pioneer that due to landslide resulting from a cloudburst at Berhi, 28-year-old Pramila Rai died at the Tapovan resort where some tourists were staying. The cloudburst occurred at 2.30 am on Thursday and also damaged the tourist resort. Five trucks and one JCB of the Border Roads Organisation reached the site to clear it of the landslide debris. The disaster management team had extracted the body of the woman and post-mortem was also conducted.","Badrinath Rd,  Rishikesh, Uttarakhand",1km,landslide,downpour,large,unknown,1.0,,,,,glc,4445.0,India,IN,Uttarakhand,66390.0,Rishīkesh,3.6307699999999996,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.3221,30.1281,2012
548,dnaindia,http://www.dnaindia.com/india/report_amarnath-pilgrims-held-up-on-j-and-k-highway-due-to-landslides_1413298,2118,07/22/2010 05:00:00 AM,,"near Panthal, between Ramban and Ramsu(?), on Jammu-Srinagar hwy, Jammu and Kashmir","The Amarnath pilgrims were today stranded on Jammu-Srinagar highway due to landslides triggered by heavy rains between Ramban and Ramsu.  A batch of 2244 pilgrims, which had left here in a fleet of 49 vehicles around 5am, was not allowed to proceed further by the authorities as landslides had occurred due to heavy rains near Panthal,  ","near Panthal, between Ramban and Ramsu(?), on Jammu-Srinagar hwy, Jammu and Kashmir",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,2118.0,India,IN,Kashmir,3278.0,Banihāl,3.04809,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.203,33.3893,2010
560,thehindu,http://www.thehindu.com/news/states/other-states/article797102.ece,2502,09/25/2010 12:00:00 AM,,"Dharam-Tharad area(?), Ramban district","As many as 44 structures were on Sunday damaged in a landslide in Ramban district of Jammu and Kashmir today, officials said.  Heavy rains in the Dharam-Tharad area caused the landslide which destroyed 42 houses, a mosque and a government school, they said.  Confirming the incident, Divisional Commissioner Jammu Province, Pawan Kotwal told PTI that, “Several houses and structures have been damaged and developed cracks.” ","Dharam-Tharad area(?), Ramban district",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,2502.0,India,IN,Kashmir,7317.0,Rāmban,0.1179,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.2382,33.241,2010
566,www.deccanchronicle.com,http://www.deccanchronicle.com/131114/news-current-affairs/article/heavy-rains-landslide-hit-train-services-kumari-thiruvana%C2%ADntha,5635,11/13/2013 11:00:00 PM,,"Karakkamandapam, Kerala","Train services between Kanyakumari and Thiru_va__nanthapuram were cancelled following a landslide on the track at Nemom on Wednesday. The landslide, caused by heavy rain last night, was said to have partially covered the railway track. According to southern railway sources, Mumbai-bound Island express from Kanyakumari, Kan_yaku_mari-Thiruvana_ntha_puram passenger train, the Nagercoil-Man_galore Parasuram express and Nagercoil-Kochuvelly passenger train were cancelled on Wednesday. The Chennai-Guruvayoor express was stopped at Nagercoil due to the landslide. Ferry ervices to Vivek_ananda rock and Thiruvalluvar rock in Kanyakumari were also suspended on Wednesday due to rough seas. Due to continuous rain in the catchment areas, Pechi_parai dam registered an inflow of 382 cusecs, while Perunchani dam in the district received an inflow of 174 cusecs, according to PWD sources.","Karakkamandapam, Kerala",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,5635.0,India,IN,Kerala,784153.0,Thiruvananthapuram,7.3597,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.009,8.4557,2013
